ID,Name,Concepticon_ID,Concepticon_Gloss,Chinese_Gloss
1_sky,sky,1732,SKY,天 (天空)
2_sun,sun,1343,SUN,太阳
3_sunshine,sunshine,3276,SUNSHINE,阳光
4_moon,moon,1313,MOON,月亮
5_star,star,1430,STAR,星星
6_cloud,cloud,1489,CLOUD,云
7_wind,wind,960,WIND,风
8_rain,rain,658,RAIN (PRECIPITATION),雨
9_lightning,lightning,1654,LIGHTNING,闪电
10_thunder,thunder,1150,THUNDER,雷
11_rainbow,rainbow,1733,RAINBOW,彩虹
12_snow,snow,784,SNOW,雪
13_water,water,948,WATER,水
14_fog,fog,249,FOG,雾
15_frost,frost,2034,FROST,霜
16_dew,dew,1977,DEW,露
17_hail,hail,609,HAIL,雹 (雹暴)
18_earth,earth,2159,GROUND,地 (大地/草地)
19_soildirt,soil; dirt,1015,SOIL,土(干) (土壤)
20_mud,mud,640,MUD,泥(巴)
21_river,river,3311,FLOWING BODY OF WATER,河
22_ditch,ditch,2002,DITCH,沟
23_pond,pond,2035,POND,池塘
24_puddle,puddle,2290,PUDDLE,小池塘
26_welloutside,well outside,954,WELL,井
27_mountaindirt,mountain (dirt),639,MOUNTAIN,山(土山)
28_cliff,cliff,992,CLIFF,悬崖
29_valley,valley,921,VALLEY,(山)谷
30_cave,cave,1155,CAVE,(山)洞
31_holeinground,hole (in ground),1667,HOLE,洞
32_gold,gold,1369,GOLD,金
33_silver,silver,759,SILVER,银
34_ironore,iron (ore),621,IRON,铁
35_tin,tin,893,TIN (METAL),锡
36_coal,coal,2658,COAL,煤
37_stone,stone,857,STONE,石头
38_sand,sand,671,SAND,沙
39_fire,fire,221,FIRE,火
40_flame,flame,889,FLAME,火焰
41_smoke,smoke,778,SMOKE (EXHAUST),烟 (炊烟)
42_night,night,1233,NIGHT,夜
43_day,day,1260,DAY (24 HOURS),天
44_today,today,1283,TODAY,今天
45_yesterday,yesterday,1174,YESTERDAY,昨天
46_daybeforeyesterday,day before yesterday,1180,DAY BEFORE YESTERDAY,前天
47_threedaysago,three days ago,2333,THREE DAYS BEFORE NOW,大前天
48_fourdaysago,four days ago,3278,FOUR DAYS BEFORE NOW,四天前
49_tomorrow,tomorrow,1329,TOMORROW,明天
50_dayaftertomorrow,day after tomorrow,1179,DAY AFTER TOMORROW,后天
51_threedaysfromnow,three days from now,2332,THREE DAYS FROM NOW,大后天
52_fourdaysfromnow,four days from now,3277,FOUR DAYS FROM NOW,四天后
53_year,year,1226,YEAR,年
54_newyear,new year,,,新年
55_thisyear,this year,513,THIS YEAR,今年
56_lastyear,last year,514,LAST YEAR,去年
57_yearbeforelast,year before last,2331,YEAR BEFORE LAST YEAR,前年
58_threeyearsago,three years ago,,,大前年
59_fouryearsago,four years ago,,,四年前
60_nextyear,next year,515,NEXT YEAR,明年
61_yearafternext,year after next,2330,YEAR AFTER NEXT YEAR,后年
62_threeyearsfromnow,three years from now,,,大后年
63_fouryearsfromnow,four years from now,,,四年后
64_daytime,daytime,1225,DAY (NOT NIGHT),白天
65_dawn,dawn,729,DAWN,黎明
66_morningearly,morning (early),1339,MORNING,早晨
67_noon,noon,12,MIDDAY,中午
68_afternoon,afternoon,1807,AFTERNOON,下午
69_duskevening,dusk/evening,1629,EVENING,黄昏
70_nighttime,night(time),,,夜(里)/黑夜
71_thisevening,this evening,,,今晚
72_thismorning,this morning,,,今早
73_time,time,892,TIME,时间
74_cow,cow,3044,BOVINE,牛
75_buffalowater,buffalo (water),2516,WATER BUFFALO,水牛
76_fieldcow,field cow,1153,CATTLE,黄牛
77_horse,horse,615,HORSE,马
78_pig,pig,1337,PIG,猪
79_sow,sow,1351,SOW (FEMALE PIG),母猪
80_piglet,piglet,2564,PIGLET,小猪
81_boar,boar,1348,BOAR (MALE PIG),公猪
82_boarwild,boar (wild),3154,WILD BOAR,野猪
83_goat,goat,1502,GOAT,山羊
84_ram,ram,1344,RAM,公羊
85_sheep,sheep,1331,SHEEP,绵羊
86_dog,dog,2009,DOG,狗
87_cat,cat,1208,CAT,猫
88_rabbit,rabbit,1136,RABBIT,兔子
89_dragon,dragon,2038,DRAGON,龙
90_animal,animal,619,ANIMAL,动物
91_wildanimal,wild animal,958,WILD ANIMAL,野兽
92_bear,bear,1820,BEAR,熊
93_tiger,tiger,846,TIGER,老虎
94_leopardpanther,leopard; panther,1139,LEOPARD,豹
95_wolf,wolf,522,WOLF,狼
96_monkey,monkey,1350,MONKEY,猴子
97_otter,otter,15,OTTER,水獭
98_weasel,weasel,3384,WEASEL,黄鼠狼
99_pangolin,pangolin,2508,PANGOLIN,穿山甲
100_muntjakdeer,muntjak deer,3152,MUNTJACS,麂子／赤鹿
101_sambardeer,sambar deer,,,水鹿/黑鹿
102_porcupine,porcupine,2510,PORCUPINE,豪猪/箭猪
103_ratmouse,rat; mouse,2139,MUROID (MOUSE OR RAT),老鼠
104_squirrel,squirrel,1628,SQUIRREL,松鼠
105_chicken,chicken,1318,CHICKEN,鸡
106_rooster,rooster,1511,ROOSTER,公鸡
107_hen,hen,1514,HEN,母鸡
108_duck,duck,1360,DUCK,鸭子
109_goose,goose,1187,GOOSE,鹅
110_bird,bird,937,BIRD,鸟
111_swallow,swallow,3077,SWALLOW (BIRD),燕子
112_sparrow,sparrow,1854,SPARROW,麻雀
113_crow,crow,913,CROW,乌鸦
114_magpie,magpie,2039,MAGPIE,喜鹊
115_dovepigeon,dove; pigeon,1853,DOVE,鸽
116_pheasant,pheasant,3060,PHEASANT,野鸟/野鸡
117_eaglehawk,eagle; hawk,2683,EAGLE OR HAWK,老鹰
118_owl,owl,735,OWL,猫头鹰
119_bat,bat,1793,BAT,蝙蝠
120_frog,frog,503,FROG,青蛙
121_toad,toad,894,TOAD,癞蛤蟆
122_fish,fish,227,FISH,鱼
123_snake,snake,730,SNAKE,蛇
124_lizard,lizard,632,LIZARD,蜥蜴／壁虎
125_leech,leech,2273,LEECH,蚂蟥/水蛭
126_spider,spider,843,SPIDER,蜘蛛
127_insect,insect,620,INSECT,昆虫
128_ant,ant,587,ANT,蚂蚁
129_termite,termite,883,TERMITE,白蚁
130_mantis,mantis,3279,MANTIS,螳螂
131_roach,roach,1575,COCKROACH,蟑螂
132_fly,fly,1504,FLY (INSECT),苍蝇
133_honeybee,honeybee,665,BEE,蜜蜂
134_wasp,wasp,1517,WASP,黄蜂
135_mosquito,mosquito,1509,MOSQUITO,蚊子
136_dragonfly,dragonfly,2352,DRAGONFLY,蜻蜓
137_butterfly,butterfly,1791,BUTTERFLY,蝴蝶
138_cricket,cricket,2354,CRICKET,蟋蟀
139_grasshopper,grasshopper,607,GRASSHOPPER,蚱蜢
140_flea,flea,232,FLEA,跳蚤
141_louseclothing,louse (clothing),1392,LOUSE,虱子(衣上)
142_centipede,centipede,1974,CENTIPEDE,蜈蚣
143_earthworm,earthworm,2350,EARTHWORM,蚯蚓
144_worm,worm,1219,WORM,虫
145_caterpillar,caterpillar,2247,CATERPILLAR,毛虫
146_maggot,maggot,2640,LARVA,蛆/蛆虫
147_nest,nest,3549,BIRD NEST,窝 (鸟窝)
148_egg,egg,744,EGG,蛋
149_wing,wing,1257,WING,翅膀
150_clawtalon,claw; talon,72,CLAW,爪
151_hoof,hoof,152,HOOF,蹄
152_horn,horn,1393,HORN (ANATOMY),角
153_tail,tail,1220,TAIL,尾巴
154_tusk,tusk,3280,TUSK,长牙
155_cockscomb,(cocks)comb,188,COMB OF BIRD,冠（鸡冠）
156_tree,tree,906,TREE,树
157_pinetree,pine tree,1740,PINE,松树
158_firtree,fir tree,1915,FIR,杉树
159_willowtree,willow tree,818,WILLOW,柳树
160_bamboo,bamboo,1927,BAMBOO,竹子
161_bambooshoot,bamboo shoot,2494,BAMBOO SHOOT,竹笋
162_wheat,wheat,1077,WHEAT,小麦
163_buckwheat,buckwheat,2040,BUCKWHEAT,荞麦/荞子
164_millet,millet,931,MILLET,稷
165_barley,barley,932,BARLEY,大麦
166_sorghum,sorghum,347,SORGHUM,高粱
167_jobstears,job's tears,3281,JOB'S TEARS,薏苡
168_corn,corn,506,MAIZE,玉米
169_earofgrain,ear of grain,3244,EAR (OF GRAIN),穗子
170_peanut,peanut,595,GROUNDNUT (PEANUT),花生
171_walnut,walnut,2042,WALNUT,核桃
172_cotton,cotton,1850,COTTON,棉花
173_ramie,ramie,3063,RAMIE,苎麻
174_bean,bean,832,BEAN,豆子
175_melon,melon,507,MELON,瓜
176_gourd,gourd,411,GOURD,葫芦
177_cucumber,cucumber,496,CUCUMBER,黄瓜
178_eggplant,eggplant,1146,AUBERGINE,茄子
179_vegetable,vegetable,924,VEGETABLES,蔬菜
180_cabbagegreens,cabbage greens,774,CABBAGE,青菜
181_radish,radish,2365,RADISH,萝卜
182_garlic,garlic,2368,GARLIC,蒜
183_ginger,ginger,2500,GINGER,姜
184_galangal,galangal,,,高良姜 (山奈)
185_chilipepper,chili pepper,919,CHILI PEPPER,辣椒
186_fruit,fruit,1507,FRUIT,水果
187_peach,peach,2043,PEACH,桃子
188_persimmon,persimmon,2044,PERSIMMON,柿子
189_banana,banana,868,BANANA,香蕉
190_taro,taro,351,TARO,芋头
191_tobacco,tobacco,974,TOBACCO,烟/烟草
192_grass,grass,606,GRASS,草
193_thatchcogongrass,thatch (cogon grass),279,THATCH,茅草
194_reed,reed,659,REED,芦苇
195_mushroom,mushroom,641,MUSHROOM,菌子
196_seed,seed,714,SEED,种子
197_root,root,670,ROOT,根
198_stemstalk,stem; stalk,2628,PLANT STEM,茎
199_leaf,leaf,628,LEAF,叶子
200_sproutbud,sprout; bud,3358,SPROUT (SHOOT),芽(种子芽)
201_flower,flower,239,FLOWER,花
202_wood,wood,1803,WOOD,木
203_board,board,1227,BOARD,板子
204_stick,stick,1295,STICK,棍子
205_branch,branch,1531,BRANCH,树枝
206_treebark,tree bark,1204,BARK,树皮
207_unhulledrice,unhulled rice,2749,UNHUSKED RICE,谷子（稻谷）
208_ricegrains,rice (grains),926,RICE,米
209_cookedrice,cooked rice,1191,COOKED RICE,饭
210_glutinousrice,glutinous rice,2750,GLUTINOUS RICE,糯米
211_riceseedling,rice seedling,3767,RICE SEEDLING,秧苗
212_ricehulls,rice hulls,2501,RICE HUSK,稻壳
213_chaff,chaff,2363,CHAFF (HUSK),谷壳
214_fruitpeel,fruit peel,2373,SKIN (OF FRUIT),果皮
215_shelleggetc,"shell (egg, etc)",598,SHELL,皮/壳(蛋)
216_thorn,thorn,124,THORN,刺
217_moss,moss,637,MOSS,苔(青苔)
218_fern,fern,3802,FERN,蕨草
219_yeast,yeast,967,YEAST,酵母
220_ashes,ashes,646,ASH,灰(草木灰)
221_body,body,1480,BODY,身体
222_head,head,1256,HEAD,头
223_brains,brains,1583,BRAIN,脑髓
224_forehead,forehead,123,FOREHEAD,额头
225_headhair,head hair,2648,HAIR (HEAD),头发
226_braid,braid,1043,BRAID,辫子
227_face,face,1560,FACE,脸
228_eyebrow,eyebrow,1173,EYEBROW,眉毛
229_eye,eye,1248,EYE,眼睛
230_eyeball,eyeball,3807,EYEBALL,眼球
231_tears,tears,1651,TEAR (OF EYE),眼泪
232_nose,nose,1221,NOSE,鼻子
233_ear,ear,1247,EAR,耳朵
234_cheeks,cheeks,1730,CHEEK,颊
235_mouth,mouth,674,MOUTH,嘴
236_lips,lips,478,LIP,嘴唇
237_teeth,teeth,1380,TOOTH,牙齿
238_frontteeth,front teeth,442,FRONT TOOTH (INCISOR),前牙
239_backteeth,back teeth,1049,MOLAR TOOTH,后牙
240_gums,gums,139,GUMS,齿龈
241_tongue,tongue,1205,TONGUE,舌头
242_beardmustache,beard; mustache,678,BEARD,胡子
243_chin,chin,1510,CHIN,下巴
244_neck,neck,1333,NECK,脖子
245_throat,throat,1346,THROAT,喉咙
246_shoulder,shoulder,1482,SHOULDER,肩膀
247_joint,joint,999,JOINT,关节
248_handarm,hand/arm,2121,ARM OR HAND,手·胳臂
249_hand,hand,1277,HAND,手
250_arm,arm,1673,ARM,手臂
251_palmofhand,palm (of hand),1183,PALM OF HAND,手掌
252_wrist,wrist,799,WRIST,手腕
253_elbow,elbow,981,ELBOW,肘
254_finger,finger,1303,FINGER,指/手指
255_indexfinger,index finger,577,FOREFINGER,食指
256_pinkiefinger,pinkie finger,2774,LITTLE FINGER,小手指
257_thumb,thumb,1781,THUMB,拇指
258_fingernail,fingernail,1258,FINGERNAIL,指甲
259_buttocks,buttocks,834,BUTTOCKS,屁股
260_hip,hip,1745,HIP,臀部
261_footleg,foot/leg,2098,FOOT OR LEG,脚·腿
262_leg,leg,1297,LEG,腿
263_foot,foot,1301,FOOT,脚
264_thigh,thigh,471,UPPER LEG (THIGH),大腿
265_calfofleg,calf (of leg),498,CALF OF LEG,小腿
266_soleoffoot,sole (of foot),2666,SOLE (FOOT),脚底
267_heel,heel,980,HEEL,脚后跟
268_anklejoint,ankle (joint),803,ANKLE,踝
269_knee,knee,1371,KNEE,膝/膝盖
270_toe,toe,1389,TOE,趾/脚趾
271_bigtoe,big toe,,,大趾
272_chest,chest,1592,CHEST,胸脯
273_back,back,1291,BACK,脊背
274_breast,breast,1402,BREAST,乳房
275_armpit,armpit,1886,ARMPIT,腋下/腋窝
276_skin,skin,763,SKIN,皮肤
277_bone,bone,1394,BONE,骨头
278_rib,rib,801,RIB,肋骨
279_stomach,stomach,819,STOMACH,胃
280_belly,belly,1251,BELLY,肚子/腹部
281_navel,navel,1838,NAVEL,脐 (肚脐)
282_waist,waist,1681,WAIST,腰
283_kidney,kidney,489,KIDNEY,肾/腰子
284_intestines,intestines,1991,INTESTINES,肠子
285_heart,heart,1223,HEART,心
286_liver,liver,1224,LIVER,肝
287_lung,lung,688,LUNG,肺/肺脏
288_bladder,bladder?,1746,BLADDER,膀胱
289_gallbladder,gallbladder,,,胆/苦胆
290_bile,bile,1780,BILE,胆汁
291_sweat,sweat,125,SWEAT (SUBSTANCE),汗
292_blood,blood,946,BLOOD,血
293_snot,snot,208,NASAL MUCUS (SNOT),鼻涕/粘液
294_phlegm,phlegm,3061,PHLEGM,痰
295_saliva,saliva,1503,SALIVA,口水
296_milk,milk,635,MILK,奶
297_excrement,excrement,675,FAECES (EXCREMENT),屎
298_urine,urine,1142,URINE,尿
299_pus,pus,1808,PUS,脓
300_sorewound,sore (wound),51,SORE,疮
301_bodyhairfeathers,body hair; feathers,2381,FEATHER OR FUR OR HAIR,毛(翎毛)
302_penis,penis,1222,PENIS,阴茎
303_vulva,vulva,1837,VULVA,女阴
304_anus,anus,1935,ANUS,肛门
305_tendon,tendon,1137,TENDON,筋/腱
306_breath,breath,870,BREATH,呼吸
307_strength,strength,202,STRENGTH,力气
308_person,person,683,PERSON,人
309_male,male,2106,MALE PERSON,男人
310_female,female,2105,FEMALE PERSON,女人
311_autonym,Autonym,3433,AUTONYM (OF PEOPLE),(自称)
312_hanchinese,Han Chinese,3373,HAN CHINESE,汉族
313_yilo,Yi/Lo,,,彝族
314_bai,Bai,,,白族
315_dai,Dai,,,傣族
316_child,child,2099,CHILD,儿童
317_elderlyperson,elderly person,725,OLD PERSON,老人
318_olderman,older man,406,OLD MAN,老男人
319_olderwoman,older woman,907,OLD WOMAN,老女人
320_boy,boy,1366,BOY,青年男人
321_girl,girl,1646,GIRL,青年女人
322_friend,friend,1325,FRIEND,朋友
323_enemy,enemy,1358,ENEMY,敌人
324_host,host,1545,HOST,主人
325_guest,guest,1782,GUEST,客人
326_lameperson,lame person,2322,LAME PERSON,瘸子/跛子
327_official,official,3361,OFFICIAL,官
328_highofficial,high official,,,大官
329_lowofficial,low official,,,小官
330_emperor,emperor,1508,KING,皇帝
331_doctor,doctor,597,PHYSICIAN,医生
332_blacksmith,blacksmith,1001,BLACKSMITH,铁匠/锻工
333_soldier,soldier,1941,SOLDIER,兵/士兵
334_bride,bride,1266,BRIDE,新娘
335_groom,groom,3282,GROOM,新郎
336_widow,widow,1756,WIDOW,寡妇
337_widower,widower,1981,WIDOWER,寡郎
339_blind,blind,1653,BLIND,盲; 瞎子
340_deaf,deaf,996,DEAF,聋(子)
341_fathersfather,father's father,2560,PATERNAL GRANDFATHER,爷爷
342_fathersmother,father's mother,3015,PATERNAL GRANDMOTHER,奶奶
343_gpfather,GP father,,,祖父
344_gpmother,GP mother,,,祖母
345_father,father,1217,FATHER,父亲
346_mother,mother,1216,MOTHER,母亲
347_wifesfather,wife's father,1055,FATHER-IN-LAW,岳父
348_wifesmother,wife's mother,1050,MOTHER-IN-LAW,岳母
349_olderbrother,older brother,1759,OLDER BROTHER,哥哥
350_oldersister,older sister,1758,OLDER SISTER,姐姐
352_youngerbrotherofafemale,younger brother of a female,2417,YOUNGER BROTHER (OF WOMAN),弟弟
354_youngersisterofamale,younger sister of a male,2420,YOUNGER SISTER (OF MAN),妹妹
355_siblings,siblings,1640,SIBLING,兄弟姐妹
356_oldestsibling,oldest sibling,,,老大
357_secondsibling,second sibling,,,老二
359_youngestchild,youngest child,,,老幺
360_husband,husband,1200,HUSBAND,丈夫
361_wife,wife,1199,WIFE,妻子
362_son,son,1620,SON,儿子
363_daughter,daughter,1357,DAUGHTER,女儿 (姑娘)
364_daughterinlaw,daughter-in-law,1057,DAUGHTER-IN-LAW,儿媳 (媳妇)
365_soninlaw,son-in-law,1056,SON-IN-LAW,女婿
366_brothersson,brother's son,,,侄子
367_brothersdaughter,brother's daughter,,,侄女
368_sischildmvpt,sis' child (Mvpt),,,外甥/外甥女
369_sonsson,son's son,2702,GRANDSON (SON'S SON),孙子
370_sonsdaughter,son's daughter,,,孙女
371_ancestor,ancestor,1669,ANCESTORS,祖先
372_fathersob,father's OB,2173,PATERNAL UNCLE (FATHER'S OLDER BROTHER),伯父
373_fathersbw,father's BW,,,伯母
374_fathersos,father's OS,3041,PATERNAL AUNT (FATHER'S OLDER SISTER),姑妈
375_fathersyb,father's YB,2174,PATERNAL UNCLE (FATHER'S YOUNGER BROTHER),叔叔
376_mothersob,mother's OB,,,舅舅
377_mothersos,mother's OS,2176,MATERNAL AUNT,姨母
378_malesuffix,male suffix,,,公的
379_femalesuffix,female suffix,,,母的
380_fatherchildrenclf,father+children (CLF),,,三父子
381_motherchildrenclf,mother+children (CLF),,,三母子
382_grandfathergrandchildrenclf,grandfather+grandchildren (CLF),,,三爷孙
383_grandmothergrandchildrenclf,grandmother+grandchildren (CLF),,,三奶孙
384_house,house,1252,HOUSE,房子
385_home,home,2406,HOME,家
386_wall,wall,933,WALL (OF HOUSE),墙壁
387_roof,roof,769,ROOF,房顶
388_tileceramic,tile (ceramic),,,瓦片
389_beammain,beam [main],1132,BEAM,梁(主)
390_beamsmall,beam[small],1132,BEAM,梁(小)
391_postpillar,post; pillar,281,POST,柱子(大)
392_door,door,1567,DOOR,门
393_room,room,1450,ROOM,房间
394_firepit,fire-pit,,,火塘
395_charcoal,charcoal,1188,CHARCOAL,木炭
396_fieldwetfield,field; wet field,140,PADDY FIELD,田 (稻田)
397_dryfield,dry field,2794,FIELD (UPLAND),田 (旱田)
398_garden,garden,586,GARDEN,菜园
399_penfold,pen; fold,851,STABLE,圈(牛圈)
400_granary,granary,3025,BARN OR SHED,仓（装粮食的柜子）
401_shrinetemple,shrine; temple,911,TEMPLE,庙
402_tombgrave,tomb; grave,1773,GRAVE,坟墓
403_graveyard,graveyard,3284,GRAVEYARD,墓地
404_headwrap,head-wrap,,,头巾
405_headdress,headdress,331,HEADDRESS,饰头巾
406_hat,hat,771,HAT,帽子
407_earring,earring,770,EARRING,耳环
408_bracelet,bracelet,1754,BRACELET,手镯
409_ringforfinger,ring (for finger),1374,RING,戒指
410_clothing,clothing,1895,CLOTHES,衣服
411_collar,collar,2012,COLLAR,衣领
412_sleeve,sleeve,2953,SLEEVE,袖子
413_button,button,757,BUTTON,钮扣
414_palmbarkraincape,palm bark rain cape,,,蓑衣
415_pants,pants,809,TROUSERS,裤子
416_belt,belt,772,BELT,裤带
417_shoes,shoes,1381,SHOE,鞋
418_clothfabric,cloth (fabric),1616,CLOTH,布
419_babysling,baby sling,,,背兜
420_shoulderbag,shoulder bag,,,肩袋
421_blanketquilt,blanket; quilt,806,BLANKET,被子
422_pillow,pillow,1044,PILLOW,枕头
423_mat,mat,195,MAT,(垫)席
424_ricepowder,rice powder,3285,RICE FLOUR,米粉
425_flour,flour,1594,FLOUR,面粉
426_porridge,porridge,2049,CONGEE,粥
427_oil,oil,1484,OIL (ORGANIC SUBSTANCE),油
428_lard,lard,1282,FAT (FROM ANIMALS),动物油
429_salt,salt,1274,SALT,盐
430_meat,meat,2615,FLESH OR MEAT,肉
431_soup,soup,1547,SOUP,汤 (菜汤)
432_liquor,liquor,842,LIQUOR,酒
433_tea,tea,1373,TEA,茶 （茶水）
434_sugar,sugar,862,SUGAR,糖
435_jaggery,jaggery,,,红糖
436_saw,saw,1948,SAW,锯子
437_knife,knife,1352,KNIFE,刀
438_kitchenknife,kitchen knife,2772,KITCHEN KNIFE,菜刀
439_pointedknife,pointed knife,,,尖刀
440_sickle,sickle,341,SICKLE,镰刀
441_hatchet,hatchet,677,AXE,斧头
442_hoelarge,hoe (large),284,HOE,锄头
443_plow,plow,2154,PLOUGH (INSTRUMENT),犁
444_yoke,yoke,14,YOKE,牛轭
445_thing,thing,,,东西
446_loom,loom,1787,LOOM,织布机
447_needle,needle,1382,NEEDLE (FOR SEWING),针
448_awl,awl,278,AWL,锥子
449_thread,thread,1161,THREAD,线 (缝衣用的)
450_ballofthread,ball (of thread),1845,BALL,线球
451_ropestring,rope; string,362,STRING,绳子
452_chain,chain,1627,CHAIN,链子
453_whiphorsewhip,whip (horse whip),2630,WHIP,鞭子 (马鞭子)
454_winnowingbasket,winnowing basket,2051,DUSTPAN,簸箕 (簸米用)
455_bamboosievesifterfine,bamboo sieve; sifter (fine),,,筛子(细的)
456_whetstone,whetstone,295,WHETSTONE,磨刀石
457_millstone,millstone,2459,GRINDSTONE,石磨
458_hammer,hammer,1481,HAMMER,锤子
459_chisel,chisel,1979,CHISEL,凿子
460_ricehuller,rice huller,,,碓
461_ricepounder,rice pounder,,,米臼
462_mortar,mortar,224,MORTAR,臼
463_pestle,pestle,225,PESTLE,杵
464_medicineherbalmedicine,medicine; herbal medicine,1372,MEDICINE,药
465_bamboobasket,bamboo basket,3360,BAMBOO BASKET,箩筐 (背东西用)
466_broom,broom,245,BROOM,扫帚
467_potpanwok,pot; pan; wok,2056,WOK,锅 (炒菜的)
468_tubbucket,tub; bucket,2052,BUCKET,桶
469_barrelceramic,"barrel, ceramic",2055,CLAY POT,土罐
470_washbasin,washbasin,915,SINK (BASIN),盆
471_bagsack,bag; sack,2468,BAG,袋子
472_combregular,comb (regular),1475,COMB,梳子
473_finetoothedcomb,fine toothed comb,,,细密梳子
474_bowl,bowl,1530,BOWL,碗
475_smallbowl,small bowl,2053,SMALL BOWL,小碗
476_largebowl,large bowl,3286,LARGE BOWL,大碗
477_chopsticks,chopsticks,1987,CHOPSTICKS,筷子
478_bed,bed,1663,BED,床
479_ladder,ladder,1464,LADDER,梯子
480_firewood,firewood,10,FIREWOOD,柴
481_manurefertilizer,manure; fertilizer,2057,DUNG (ANIMAL FAECES),粪 (肥料)
482_road,road,2457,PATH OR ROAD,路
483_bridge,bridge,1011,BRIDGE,桥
484_market,market,633,MARKET,街子(市场)
485_money,money,1559,MONEY,钱
486_price,price,657,PRICE,价钱 (价格)
487_folksong,folksong,2059,FOLK SONG,民歌／山歌
488_song,song,1096,SONG,歌
489_story,story,2060,STORY,故事
490_wordwritten,word (written),1599,WORD,字
491_speech,speech,1115,SPEECH,话
492_soundvoice,sound; voice,1811,SOUND OR NOISE,声音
493_book,book,963,BOOK,书
494_name,name,1405,NAME,名字
495_dream,dream,2374,DREAM,梦
496_shadow,shadow,1388,SHADE,影子
497_deity,deity,3231,DEITY,神
498_god,God,1944,GOD,上帝
499_soul1,soul (1),811,SOUL,魂
500_spiritevil,spirit (evil),1175,GHOST,鬼
501_boundarymarker,boundary marker,,,边界记号
502_fence,fence,1690,FENCE,栅栏
503_gun,gun,1566,GUN,枪
504_bow,bow,994,BOW,弓
505_arrow,arrow,977,ARROW,箭
506_arrowhead,arrow (head),,,箭头
507_cageegforducks,"cage (e.g., for ducks)",3283,CAGE,笼
508_drum,drum,908,DRUM,鼓
509_gong,gong,2502,GONG,铜锣
510_town,town,1391,TOWN,城
511_village,village,930,VILLAGE,村(寨)
512_custom,custom,1747,CUSTOM,风俗
513_ritualtree,ritual tree,,,龙树
